Liverpool,822bd0ba,Liverpool
Manchester-City,b8fd03ef,Manchester City 
Chelsea,cff3d9bb,Chelsea
Leicester-City,a2d435b3,Leicester City
Manchester-United,19538871,Manchester Utd
Wolverhampton-Wanderers,8cec06e1,Wolves
Sheffield-United,1df6b87e,Sheffield Utd
Arsenal,18bb7c10,Arsenal
Tottenham-Hotspur,361ca564,Tottenham
Burnley,943e8050,Burnley
Everton,d3fd31cc,Everton
Southampton,33c895d4,Southampton
Newcastle-United,b2b47a98,Newcastle Utd
Crystal-Palace,47c64c55,Crystal Palace
Brighton-and-Hove-Albion,d07537b9,Brighton
West-Ham-United,7c21e445,West Ham
Watford,2abfe087,Watford
Bournemouth,4ba7cbea,Bournemouth
Aston-Villa,8602292d,Aston Villa
Norwich-City,1c781004,Norwich City
